timestamp, Kp, Ki, Sa, Sb, Bp, distance, bestdist, simres 
1561171442, 2.158509, 2.466764, 27.367114, 0.058314, 21.165229, 826.136200, 826.136200, 1
1561171465, 1.968767, 2.935946, 30.452446, 0.105297, 30.881063, 1129.024912, 1129.024912, 1
1561171473, 2.247286, 2.444653, 28.131692, 0.061298, 11.829902, 858.811496, 1129.024912, 1
1561171481, 3.122413, 2.207120, 26.635496, 0.062024, 43.822913, 827.651268, 1129.024912, 1
1561171489, 1.882823, 2.480334, 10.865866, 0.304908, 40.676700, 1049.615548, 1129.024912, 1
1561171489, 1.754216, 1.445766, 39.961924, 1.986141, 16.425283, 497.154468, 1129.024912, 0
1561171492, 0.372876, 1.950298, 15.966612, 0.656417, 25.674969, 545.468649, 1129.024912, 0
1561171500, 0.188095, 1.712028, 11.432060, 0.485811, 42.359254, 772.139825, 1129.024912, 1
1561171508, 1.620301, 1.243524, 31.824157, 0.006943, 33.866532, 739.799704, 1129.024912, 1
1561171516, 1.357882, 2.611359, 23.627718, 0.133885, 41.411806, 985.840947, 1129.024912, 1
1561171524, 3.270714, 1.785619, 21.209862, 0.018279, 42.702702, 580.518423, 1129.024912, 1
1561171527, 2.087974, 1.322176, 26.488438, 0.238993, 6.347601, 525.440630, 1129.024912, 0
1561171535, 2.049964, 2.944418, 17.811793, 0.012119, 8.260934, 472.511464, 1129.024912, 1
1561171542, 1.968767, 2.935946, 30.452446, 0.105297, 30.881063, 1126.686862, 1129.024912, 1
1561171550, 0.308381, 1.509833, 11.142039, 0.033964, 48.308228, 349.316727, 1129.024912, 1
1561171550, 3.555568, 2.467142, 24.495124, 0.387339, 33.377823, 6.045196, 1129.024912, 0
1561171574, 0.539427, 2.505013, 28.619123, 0.247450, 6.793509, 1470.221682, 1470.221682, 1
1561171575, 0.161122, 2.688990, 11.839786, 1.819650, 15.246572, 280.532960, 1470.221682, 0
1561171575, 3.631384, 1.175995, 32.441422, 0.415992, 27.869425, 205.981505, 1470.221682, 0
1561171584, 2.636341, 2.762771, 25.797728, 0.009575, 13.235202, 672.706325, 1470.221682, 1
1561171584, 0.289518, 1.347051, 33.385821, 0.510151, 13.287623, 210.346173, 1470.221682, 0
1561171592, 0.539427, 2.505013, 28.619123, 0.247450, 6.793509, 1468.207704, 1470.221682, 1
1561171593, 1.161754, 1.164966, 34.518751, 0.226852, 16.247218, 197.089932, 1470.221682, 0
1561171594, 0.345534, 1.509710, 24.075944, 0.729759, 41.946402, 346.689941, 1470.221682, 0
1561171594, 0.264406, 2.601132, 36.462667, 1.007590, 41.062999, 1.520424, 1470.221682, 0
1561171602, 3.927083, 2.486356, 15.711858, 0.008834, 45.973543, 409.838261, 1470.221682, 1
1561171610, 2.468237, 1.628358, 23.503002, 0.007612, 25.472862, 608.225720, 1470.221682, 1
1561171618, 0.539427, 2.505013, 28.619123, 0.247450, 6.793509, 1469.492181, 1470.221682, 1
1561171626, 1.517400, 2.925574, 13.295502, 0.005605, 15.797770, 374.774235, 1470.221682, 1
1561171626, 2.079976, 2.930016, 38.017946, 0.647125, 41.312533, 214.875280, 1470.221682, 0
1561171634, 0.539427, 2.505013, 28.619123, 0.247450, 6.793509, 1466.608991, 1470.221682, 1
1561171642, 0.539427, 2.505013, 28.619123, 0.247450, 6.793509, 1463.159699, 1470.221682, 1
1561171650, 0.633649, 2.177649, 32.891038, 0.153771, 5.608683, 1373.199540, 1470.221682, 1
1561171650, 2.433789, 1.930240, 19.982509, 0.726028, 37.998665, 208.599232, 1470.221682, 0
1561171658, 1.070991, 1.224645, 22.630038, 0.074972, 6.527380, 793.719575, 1470.221682, 1
1561171661, 0.103029, 2.717461, 13.517050, 0.161400, 6.591780, 217.577306, 1470.221682, 0
1561171663, 0.065352, 2.441620, 36.928474, 0.062942, 34.949479, 205.905427, 1470.221682, 0
