timestamp, Kp, Ki, Sa, Sb, Bp, distance, bestdist, simres 
1561254720, 1.357577, 2.845946, 23.889647, 0.082312, 10.323826, 862.492457, 862.492457, 1
1561254742, 0.421133, 1.161450, 20.175953, 0.560426, 41.853766, 1553.949811, 862.492457, 1
1561254742, 2.330509, 1.894722, 32.542261, 0.042708, 37.904284, 2.891974, 862.492457, 0
1561254743, 0.578230, 1.538567, 23.345590, 0.496109, 15.016226, 211.522499, 862.492457, 0
1561254751, 0.344166, 2.304715, 10.637966, 0.199523, 35.492322, 553.741821, 862.492457, 1
1561254759, 2.266488, 2.662954, 18.350919, 0.022950, 8.578931, 515.449650, 862.492457, 1
1561254783, 0.503136, 2.592971, 20.959451, 0.183310, 14.071324, 941.498439, 941.498439, 1
1561254786, 0.204478, 2.235817, 36.511340, 0.480863, 14.301238, 604.405487, 941.498439, 0
1561254786, 2.910100, 1.665474, 24.878412, 0.084687, 18.502113, 2.736298, 941.498439, 0
1561254794, 0.508848, 2.967609, 34.069495, 0.002029, 22.338004, 770.212476, 941.498439, 1
1561254818, 0.503136, 2.592971, 20.959451, 0.183310, 14.071324, 943.928149, 943.928149, 1
1561254819, 0.273906, 1.872934, 34.724497, 0.783450, 13.081993, 276.289361, 943.928149, 0
1561254833, 0.421133, 1.161450, 20.175953, 0.560426, 41.853766, 1593.580890, 943.928149, 1
1561254837, 0.127205, 2.516605, 18.670083, 0.210826, 33.762873, 374.017587, 943.928149, 0
1561254838, 3.230041, 2.751279, 29.277443, 1.790711, 6.506159, 220.355245, 943.928149, 0
1561254838, 3.195659, 1.544403, 16.841409, 1.412820, 6.437981, 7.223611, 943.928149, 0
1561254839, 0.468627, 2.136420, 36.469559, 0.661286, 12.668134, 259.427330, 943.928149, 0
1561254840, 0.239215, 1.170708, 14.562869, 1.667478, 43.082452, 301.670053, 943.928149, 0
1561254841, 0.963328, 2.848536, 23.133456, 1.252838, 48.868944, 231.200521, 943.928149, 0
1561254864, 3.672358, 1.943964, 20.934139, 0.209080, 26.163490, 1381.988044, 1381.988044, 1
1561254888, 3.094668, 2.310100, 25.873734, 0.176680, 37.261339, 1410.930433, 1410.930433, 1
1561254888, 2.483607, 1.696249, 35.145888, 0.980224, 37.427224, 222.575267, 1410.930433, 0
1561254888, 3.617482, 1.804974, 29.299227, 0.310075, 38.621054, 11.622850, 1410.930433, 0
1561254896, 1.476169, 1.385595, 17.587369, 0.198187, 34.496708, 1028.555251, 1410.930433, 1
1561254897, 2.322271, 1.065243, 24.469048, 1.732348, 29.342030, 218.599117, 1410.930433, 0
1561254904, 2.617098, 1.264756, 19.315337, 0.169468, 32.870243, 1047.680860, 1410.930433, 1
1561254913, 0.421133, 1.161450, 20.175953, 0.560426, 41.853766, 1594.827099, 1410.930433, 1
1561254913, 3.672358, 1.943964, 20.934139, 0.209080, 26.163490, 0.449024, 1410.930433, 0
1561254914, 2.504261, 2.783302, 21.181213, 1.080399, 45.842902, 220.759030, 1410.930433, 0
1561254922, 3.378864, 1.223596, 19.489474, 0.099916, 16.215015, 796.753129, 1410.930433, 1
1561254922, 2.585883, 1.508553, 16.111115, 0.460943, 21.996059, 204.578449, 1410.930433, 0
1561254923, 0.999533, 1.571698, 12.271703, 0.926174, 43.787256, 213.271419, 1410.930433, 0
1561254924, 0.505598, 2.096782, 36.872489, 1.292982, 10.515145, 321.951954, 1410.930433, 0
1561254932, 2.202926, 1.907841, 14.497166, 0.038081, 10.141091, 438.635236, 1410.930433, 1
1561254940, 0.421133, 1.161450, 20.175953, 0.560426, 41.853766, 1582.533143, 1410.930433, 1
1561254948, 1.667409, 2.874468, 14.594079, 0.151230, 45.000085, 756.220796, 1410.930433, 1
1561254948, 3.744323, 2.475270, 25.036633, 0.841061, 41.418445, 5.826136, 1410.930433, 0
1561254956, 1.994828, 1.271071, 34.068014, 0.068929, 30.297273, 1058.852843, 1410.930433, 1
1561254980, 3.094668, 2.310100, 25.873734, 0.176680, 37.261339, 1411.803455, 1411.803455, 1
1561254988, 1.598895, 1.684283, 18.973253, 0.042309, 13.959636, 582.793272, 1411.803455, 1
1561254996, 1.770593, 2.605459, 10.266647, 0.066931, 11.415320, 387.215414, 1411.803455, 1
1561254996, 1.093228, 1.129109, 34.408975, 0.781187, 41.190266, 219.178605, 1411.803455, 0
1561254997, 0.066789, 1.080885, 34.352008, 1.285968, 24.991330, 339.917231, 1411.803455, 0
1561254998, 1.957540, 2.857334, 19.840117, 0.373508, 13.103601, 205.491136, 1411.803455, 0
1561254998, 3.380081, 2.653337, 16.916500, 0.347428, 10.676026, 7.262024, 1411.803455, 0
1561254998, 1.766410, 1.161450, 11.082293, 0.547328, 43.167585, 205.974751, 1411.803455, 0
1561255006, 3.094668, 2.310100, 25.873734, 0.176680, 37.261339, 1404.551177, 1411.803455, 1
1561255014, 3.087258, 2.657661, 26.450978, 0.046624, 48.754821, 828.649659, 1411.803455, 1
1561255017, 0.421133, 1.161450, 20.175953, 0.560426, 41.853766, 547.076600, 1411.803455, 0
1561255024, 2.094303, 1.773446, 12.172635, 0.014656, 9.476471, 358.607554, 1411.803455, 1
1561255024, 3.543818, 2.892330, 33.032125, 1.554653, 42.434284, 6.072769, 1411.803455, 0
1561255033, 1.665570, 2.377050, 25.985597, 0.020114, 24.475526, 714.868371, 1411.803455, 1
1561255033, 2.619881, 2.737559, 36.755555, 0.815347, 48.475072, 220.802706, 1411.803455, 0
1561255033, 3.172264, 1.706741, 12.322332, 0.552564, 21.308911, 8.473749, 1411.803455, 0
1561255033, 3.470832, 1.933757, 34.076552, 1.804540, 47.152936, 6.175501, 1411.803455, 0
1561255034, 1.453337, 2.051342, 34.241229, 1.776777, 12.790960, 220.289737, 1411.803455, 0
1561255057, 3.094668, 2.310100, 25.873734, 0.176680, 37.261339, 1414.151227, 1414.151227, 1
1561255081, 3.094668, 2.310100, 25.873734, 0.176680, 37.261339, 1419.950441, 1419.950441, 1
1561255089, 3.669991, 2.679925, 29.237595, 0.030817, 48.754821, 774.388701, 1419.950441, 1
1561255097, 1.568844, 2.842075, 19.687456, 0.037512, 32.877003, 589.630408, 1419.950441, 1
1561255105, 2.101044, 1.475473, 30.778587, 0.038788, 45.382914, 839.551789, 1419.950441, 1
1561255105, 3.332290, 2.778987, 27.672873, 1.684104, 44.933755, 220.756313, 1419.950441, 0
1561255106, 3.094668, 2.310100, 25.873734, 0.176680, 37.261339, 10.968067, 1419.950441, 0
1561255113, 3.094668, 2.310100, 25.873734, 0.176680, 37.261339, 1410.878090, 1419.950441, 1
1561255114, 2.932869, 2.814307, 28.780094, 1.868767, 28.213125, 220.957386, 1419.950441, 0
1561255114, 3.405627, 2.807660, 37.700251, 0.040453, 35.064708, 5.953479, 1419.950441, 0
1561255115, 3.128850, 2.028558, 24.609294, 0.693902, 41.225167, 211.201012, 1419.950441, 0
1561255115, 3.422074, 1.815616, 13.413869, 1.162329, 45.276670, 7.195939, 1419.950441, 0
1561255123, 2.590959, 2.767791, 17.432160, 0.048691, 37.286155, 559.702942, 1419.950441, 1
1561255123, 2.252469, 2.360882, 34.379921, 0.446523, 10.973646, 207.511880, 1419.950441, 0
1561255124, 1.904085, 1.659920, 31.879179, 0.555709, 36.466612, 11.155156, 1419.950441, 0
1561255124, 2.101044, 1.513631, 23.042459, 0.800406, 22.427181, 214.081555, 1419.950441, 0
1561255132, 0.889692, 1.941583, 23.551181, 0.103683, 25.128100, 915.773440, 1419.950441, 1
1561255140, 2.660323, 2.078652, 30.351899, 0.062441, 43.989266, 931.855555, 1419.950441, 1
1561255148, 3.094668, 2.310100, 25.873734, 0.176680, 37.261339, 1418.196562, 1419.950441, 1
1561255156, 3.094668, 2.310100, 25.873734, 0.176680, 37.261339, 1404.438955, 1419.950441, 1
1561255164, 3.019233, 1.983895, 17.680400, 0.015462, 21.887795, 477.530984, 1419.950441, 1
1561255164, 3.324356, 2.562876, 25.241331, 0.374227, 49.543632, 204.786045, 1419.950441, 0
1561255165, 0.904980, 2.561129, 24.353420, 0.417362, 39.070276, 200.959713, 1419.950441, 0
1561255165, 0.904468, 1.793906, 20.049967, 1.013742, 20.176056, 228.674378, 1419.950441, 0
1561255173, 0.690951, 1.728799, 29.832605, 0.053210, 39.244073, 847.769381, 1419.950441, 1
1561255174, 1.266565, 2.638288, 20.318862, 1.520490, 37.448853, 225.484703, 1419.950441, 0
1561255198, 0.588101, 1.585062, 25.873734, 0.345580, 15.012630, 1620.194986, 1620.194986, 1
1561255206, 3.319558, 2.659594, 20.644523, 0.072763, 20.538037, 745.053284, 1620.194986, 1
1561255214, 3.094668, 2.310100, 25.873734, 0.176680, 37.261339, 1414.084019, 1620.194986, 1
1561255214, 0.740678, 2.046557, 34.285849, 1.441042, 27.362936, 257.351400, 1620.194986, 0
1561255223, 2.763944, 2.453217, 22.962439, 0.038353, 11.681148, 692.882517, 1620.194986, 1
1561255223, 1.510361, 2.736247, 16.960191, 1.340937, 37.261339, 223.441390, 1620.194986, 0
1561255224, 2.555402, 2.504048, 32.775438, 1.401907, 16.629388, 216.352315, 1620.194986, 0
1561255232, 3.653311, 1.899209, 27.511729, 0.056982, 43.638893, 832.933523, 1620.194986, 1
