timestamp, Kp, Ki, Sa, Sb, Bp, distance, bestdist, simres 
1561068083, 0.360289, 1.094478, 29.431810, 0.237678, 36.969319, 1307.914832, 1307.914832, 1
1561068084, 0.517134, 1.423776, 39.099178, 1.561696, 31.298068, 405.114136, 1307.914832, 0
1561068092, 0.385499, 1.127416, 27.952822, 0.002247, 45.057844, 701.501355, 1307.914832, 1
1561068100, 0.332305, 1.660240, 11.283996, 0.106098, 9.993570, 453.013645, 1307.914832, 1
1561068108, 0.325449, 2.407548, 24.224859, 0.248324, 39.057037, 1072.459050, 1307.914832, 1
1561068117, 3.080554, 2.816611, 13.082866, 0.041178, 28.805154, 437.771926, 1307.914832, 1
1561068125, 1.204605, 1.999837, 39.709021, 0.058597, 17.952769, 1169.813327, 1307.914832, 1
1561068128, 0.625682, 2.115051, 18.528277, 0.487553, 19.636176, 537.941540, 1307.914832, 0
1561068152, 1.410054, 2.242384, 38.282899, 0.127469, 16.953381, 1558.722365, 1558.722365, 1
1561068152, 3.138059, 2.271963, 18.561517, 0.271846, 5.428514, 189.374696, 1558.722365, 0
1561068153, 0.109309, 1.038012, 30.830770, 1.808057, 35.197286, 381.982456, 1558.722365, 0
1561068161, 0.327124, 1.081407, 35.914063, 0.146616, 46.402786, 1221.632588, 1558.722365, 1
1561068162, 2.412681, 2.193892, 19.391225, 1.790154, 45.524865, 224.966369, 1558.722365, 0
1561068163, 0.177675, 1.503687, 31.816893, 0.801601, 43.603665, 291.092541, 1558.722365, 0
1561068164, 2.900350, 1.950286, 35.018466, 0.476332, 33.568814, 208.654102, 1558.722365, 0
1561068164, 2.995301, 1.223971, 17.859789, 1.829035, 7.653257, 6.311916, 1558.722365, 0
1561068165, 0.359345, 1.987690, 34.720191, 1.407436, 37.928380, 350.888026, 1558.722365, 0
1561068165, 0.335945, 1.715528, 38.024777, 1.777730, 44.876892, 10.295397, 1558.722365, 0
1561068165, 1.410054, 2.242384, 38.282899, 0.127469, 16.953381, 3.306999, 1558.722365, 0
1561068173, 0.872262, 1.952069, 39.397487, 0.055493, 10.782429, 1131.973872, 1558.722365, 1
1561068175, 0.077830, 1.033920, 36.426690, 0.088556, 47.798921, 208.440911, 1558.722365, 0
1561068175, 2.479056, 1.023912, 35.914063, 0.574810, 13.371923, 213.001877, 1558.722365, 0
1561068183, 0.327124, 1.081407, 35.914063, 0.146616, 46.402786, 1213.054851, 1558.722365, 1
1561068190, 1.510486, 1.007482, 18.311509, 0.040316, 25.535518, 558.467208, 1558.722365, 1
1561068190, 2.434500, 1.055683, 39.194262, 1.087076, 49.041262, 225.018513, 1558.722365, 0
1561068191, 0.284450, 1.009707, 20.306919, 0.693996, 14.447111, 209.194832, 1558.722365, 0
1561068211, 1.410054, 2.242384, 38.282899, 0.127469, 16.953381, 1563.947204, 1563.947204, 1
1561068211, 1.626588, 1.010451, 39.224357, 0.449144, 42.389846, 210.618561, 1563.947204, 0
1561068219, 2.331771, 2.213999, 39.352138, 0.017265, 23.858566, 960.150853, 1563.947204, 1
1561068222, 0.097231, 2.160749, 20.091888, 0.043530, 47.131707, 213.748057, 1563.947204, 0
1561068230, 3.182520, 1.352445, 17.478417, 0.096983, 22.504429, 710.255753, 1563.947204, 1
1561068254, 1.410054, 2.242384, 38.282899, 0.127469, 16.953381, 1564.884445, 1564.884445, 1
1561068255, 3.376404, 1.359364, 31.190279, 0.219903, 37.046378, 323.219973, 1564.884445, 0
1561068256, 2.458973, 1.291864, 39.636812, 1.221393, 19.093491, 218.239643, 1564.884445, 0
1561068264, 1.410054, 2.242384, 38.282899, 0.127469, 16.953381, 1550.257682, 1564.884445, 1
1561068265, 0.167461, 2.785987, 38.442659, 0.612539, 7.057387, 295.629624, 1564.884445, 0
1561068273, 0.816217, 1.994458, 38.051089, 0.022523, 39.927246, 944.105456, 1564.884445, 1
1561068281, 0.803201, 1.409198, 24.139247, 0.183319, 46.030133, 1169.183528, 1564.884445, 1
1561068281, 2.635731, 2.691099, 25.585206, 0.278641, 14.613911, 193.219663, 1564.884445, 0
1561068282, 1.093385, 1.748311, 35.717613, 1.701703, 31.025631, 229.243972, 1564.884445, 0
1561068283, 0.990416, 2.152871, 29.735683, 1.197993, 8.862622, 231.523112, 1564.884445, 0
1561068283, 2.312759, 2.058976, 39.486378, 1.303551, 37.629979, 218.446807, 1564.884445, 0
1561068283, 3.501372, 1.759250, 38.615639, 0.009205, 42.866491, 9.365070, 1564.884445, 0
1561068284, 1.284749, 1.390681, 19.883860, 1.025780, 42.744410, 219.865032, 1564.884445, 0
1561068284, 0.958289, 2.245880, 27.582841, 0.815223, 43.004476, 223.706793, 1564.884445, 0
1561068293, 1.129102, 2.898225, 17.061857, 0.115160, 12.231266, 734.652975, 1564.884445, 1
1561068301, 1.410054, 2.242384, 38.282899, 0.127469, 16.953381, 1562.689064, 1564.884445, 1
1561068324, 1.410054, 2.242384, 38.282899, 0.127469, 16.953381, 1569.472234, 1569.472234, 1
1561068325, 0.669745, 1.422225, 15.340969, 1.219923, 47.579632, 258.930404, 1569.472234, 0
1561068326, 2.298417, 2.856876, 38.716083, 1.592034, 46.175155, 221.295464, 1569.472234, 0
1561068334, 3.000762, 2.832611, 24.746738, 0.021412, 7.840575, 685.626658, 1569.472234, 1
1561068337, 0.352835, 1.349719, 35.461671, 0.319291, 15.984558, 548.250919, 1569.472234, 0
1561068345, 1.410054, 2.242384, 38.282899, 0.127469, 16.953381, 1567.296051, 1569.472234, 1
1561068353, 1.286978, 1.442443, 37.789741, 0.110818, 12.881771, 1425.805576, 1569.472234, 1
1561068361, 1.410054, 2.242384, 38.282899, 0.127469, 16.953381, 1551.676201, 1569.472234, 1
1561068369, 0.249901, 2.959575, 34.450935, 0.064016, 10.761708, 924.167426, 1569.472234, 1
1561068369, 1.423110, 1.836992, 38.455131, 0.620818, 43.192218, 214.218267, 1569.472234, 0
1561068378, 3.216465, 1.372653, 17.678373, 0.060865, 14.717824, 600.330020, 1569.472234, 1
1561068386, 0.568579, 2.598281, 39.269888, 0.025254, 19.744815, 975.690991, 1569.472234, 1
1561068394, 1.410054, 2.758038, 39.204288, 0.073801, 20.240264, 1254.052164, 1569.472234, 1
1561068402, 2.364472, 1.328124, 39.480438, 0.107499, 28.562102, 1482.433016, 1569.472234, 1
1561068402, 3.257572, 2.173857, 39.340312, 1.458441, 6.921113, 208.971066, 1569.472234, 0
1561068409, 0.402330, 1.414027, 24.796601, 0.539184, 22.432676, 1316.236017, 1569.472234, 0
1561068409, 0.525357, 2.196213, 33.532046, 1.247908, 22.211537, 305.430886, 1569.472234, 0
1561068410, 1.723265, 2.869455, 26.432947, 1.029041, 36.829384, 222.680377, 1569.472234, 0
1561068418, 1.781248, 2.915336, 38.346576, 0.068307, 10.631016, 1194.905975, 1569.472234, 1
1561068426, 1.410054, 2.242384, 38.282899, 0.127469, 16.953381, 1563.109619, 1569.472234, 1
1561068434, 1.410054, 2.242384, 38.282899, 0.127469, 16.953381, 1563.311803, 1569.472234, 1
1561068435, 0.459013, 1.990161, 39.308167, 0.983823, 7.260474, 314.330743, 1569.472234, 0
1561068435, 2.226886, 2.566473, 22.726829, 0.411017, 9.411853, 205.769788, 1569.472234, 0
1561068443, 1.410054, 2.242384, 38.282899, 0.127469, 16.953381, 1548.812729, 1569.472234, 1
1561068451, 2.710241, 2.801114, 39.245445, 0.046664, 12.151401, 1108.466533, 1569.472234, 1
1561068452, 1.270905, 1.406294, 14.351106, 0.539184, 43.246835, 208.644113, 1569.472234, 0
1561068453, 0.135516, 2.013102, 29.779765, 0.686550, 9.623176, 276.335712, 1569.472234, 0
1561068477, 1.410054, 2.242384, 38.282899, 0.127469, 16.953381, 1572.050079, 1572.050079, 1
1561068485, 0.795066, 2.608107, 39.273178, 0.127469, 16.058186, 1482.160843, 1572.050079, 1
1561068493, 1.378698, 2.523694, 38.582288, 0.027593, 34.261405, 986.666216, 1572.050079, 1
1561068494, 0.825219, 2.163550, 22.835278, 0.755603, 14.315697, 232.831979, 1572.050079, 0
1561068495, 0.575071, 1.862996, 39.547317, 0.630400, 39.225872, 257.577867, 1572.050079, 0
1561068503, 1.260731, 2.649341, 39.416655, 0.123404, 29.319450, 1568.437512, 1572.050079, 1
1561068511, 1.410054, 2.242384, 38.282899, 0.127469, 16.953381, 1548.293677, 1572.050079, 1
1561068511, 2.474084, 1.754831, 25.906357, 0.822231, 40.226129, 216.297286, 1572.050079, 0
1561068512, 1.045733, 2.559834, 34.703309, 0.561331, 12.231870, 213.797914, 1572.050079, 0
1561068520, 1.368110, 2.516004, 19.903237, 0.085447, 25.723860, 750.020598, 1572.050079, 1
