timestamp, Kp, Ki, Sa, Sb, Bp, distance, bestdist, simres 
1561057068, 1.580666, 1.682215, 25.825216, 0.213168, 25.476273, 1593.887922, 1593.887922, 1
1561057076, 2.139012, 1.356817, 15.664607, 0.124521, 17.824669, 723.409150, 1593.887922, 1
1561057084, 2.575394, 2.746278, 18.673365, 0.127015, 17.465597, 853.311228, 1593.887922, 1
1561057092, 0.228386, 2.859326, 13.982088, 0.635449, 45.299547, 1062.989702, 1593.887922, 1
1561057100, 0.370282, 1.840577, 10.751759, 0.100851, 23.256956, 427.682922, 1593.887922, 1
1561057103, 0.538568, 2.807651, 27.944568, 0.467738, 18.176433, 548.474592, 1593.887922, 0
1561057111, 0.295981, 2.159410, 18.243963, 0.276748, 11.628893, 886.719490, 1593.887922, 1
1561057121, 1.812289, 2.587980, 15.445314, 0.194973, 10.292670, 925.677728, 1593.887922, 1
1561057130, 1.243892, 1.065362, 10.249700, 0.121574, 22.359932, 502.283148, 1593.887922, 1
1561057159, 0.581509, 2.382413, 29.374685, 0.307401, 38.839712, 1660.192877, 1660.192877, 1
1561057168, 1.734781, 1.449779, 12.620173, 0.016304, 24.384953, 374.048835, 1660.192877, 1
1561057168, 2.452381, 1.410336, 28.729219, 1.903568, 38.177470, 221.236976, 1660.192877, 0
1561057177, 0.774988, 2.526407, 10.460323, 0.108775, 8.993368, 472.674835, 1660.192877, 1
1561057186, 1.107418, 2.466751, 19.241808, 0.116706, 13.655087, 813.484127, 1660.192877, 1
1561057187, 2.742752, 2.781024, 34.135163, 0.830109, 8.632514, 221.524902, 1660.192877, 0
1561057188, 1.409048, 1.433336, 31.911992, 0.219645, 12.628264, 194.670284, 1660.192877, 0
1561057216, 0.581509, 2.382413, 29.374685, 0.307401, 38.839712, 1663.294449, 1663.294449, 1
1561057225, 0.531540, 2.471768, 32.643454, 0.105404, 19.468147, 1086.006474, 1663.294449, 1
1561057235, 0.581509, 2.382413, 29.374685, 0.307401, 38.839712, 1648.878828, 1663.294449, 1
1561057243, 0.673321, 1.856429, 17.230635, 0.149744, 42.325300, 806.253359, 1663.294449, 1
1561057252, 2.275906, 2.645560, 27.374941, 0.150035, 27.422437, 1279.845474, 1663.294449, 1
1561057261, 1.833942, 1.462229, 23.188327, 0.052252, 38.599482, 748.817240, 1663.294449, 1
1561057270, 2.849146, 2.297441, 31.417806, 0.103036, 41.604498, 1176.195368, 1663.294449, 1
1561057278, 0.151686, 1.969445, 19.873953, 0.119722, 37.622403, 629.933014, 1663.294449, 0
1561057286, 2.913517, 2.748820, 39.307332, 0.085992, 10.777151, 1358.535833, 1663.294449, 1
1561057295, 0.581509, 2.382413, 29.374685, 0.307401, 38.839712, 1631.906087, 1663.294449, 1
1561057319, 0.581509, 2.382413, 29.374685, 0.307401, 38.839712, 1665.364588, 1665.364588, 1
1561057327, 3.038942, 1.656869, 16.832236, 0.245718, 47.996677, 1360.329190, 1665.364588, 1
1561057336, 0.369727, 2.099936, 15.704758, 0.127533, 12.610082, 619.971121, 1665.364588, 1
1561057340, 0.104863, 2.887343, 15.602954, 0.073252, 41.096096, 219.481896, 1665.364588, 0
1561057341, 3.221159, 2.745314, 30.709341, 1.614197, 43.307763, 220.827227, 1665.364588, 0
1561057341, 2.066777, 2.303503, 13.720637, 1.045889, 47.755927, 6.631914, 1665.364588, 0
1561057350, 0.581509, 2.382413, 29.374685, 0.307401, 38.839712, 1660.247357, 1665.364588, 1
1561057350, 3.495846, 2.856606, 30.534615, 0.346056, 44.633161, 204.685651, 1665.364588, 0
1561057359, 1.236553, 1.389920, 30.065337, 0.063660, 44.080795, 909.086885, 1665.364588, 1
1561057367, 0.581509, 2.382413, 29.374685, 0.307401, 38.839712, 1665.281033, 1665.364588, 1
1561057375, 2.551706, 1.669991, 30.056339, 0.069132, 44.778021, 952.004660, 1665.364588, 1
