timestamp, Kp, Ki, Sa, Sb, Bp, distance, bestdist, simres 
1561212005, 0.419933, 1.617113, 21.301139, 0.306980, 39.007898, 1240.792388, 1240.792388, 1
1561212019, 0.567101, 1.369727, 11.534996, 0.685629, 36.157773, 1591.156291, 1240.792388, 1
1561212019, 3.849813, 1.895826, 14.848242, 0.255174, 5.929824, 0.870212, 1240.792388, 0
1561212043, 0.344310, 1.024505, 28.414292, 0.483685, 34.897850, 1672.991634, 1672.991634, 1
1561212051, 1.957800, 2.441828, 11.141583, 0.206520, 48.324053, 758.440482, 1672.991634, 1
1561212059, 0.829232, 2.263875, 18.627465, 0.143921, 17.004823, 855.257346, 1672.991634, 1
1561212060, 2.816256, 1.139853, 14.001206, 0.317356, 30.425247, 321.854998, 1672.991634, 0
1561212068, 0.605476, 1.374829, 24.882652, 0.226763, 49.675218, 1336.371519, 1672.991634, 1
1561212069, 0.424639, 1.885535, 22.370421, 0.704603, 46.219416, 215.335942, 1672.991634, 0
1561212077, 2.787707, 1.567975, 18.302435, 0.218548, 33.633015, 1290.508329, 1672.991634, 1
1561212078, 0.072651, 2.249007, 11.968110, 0.972147, 24.532664, 239.194852, 1672.991634, 0
1561212079, 0.226941, 1.116126, 19.175440, 1.540478, 21.882791, 322.244474, 1672.991634, 0
1561212085, 0.344310, 1.024505, 28.414292, 0.483685, 34.897850, 1315.704242, 1672.991634, 0
1561212093, 2.765725, 1.548882, 17.087378, 0.005695, 30.366006, 439.033455, 1672.991634, 1
1561212093, 1.352352, 1.609471, 29.976523, 1.704816, 33.507806, 227.747512, 1672.991634, 0
1561212094, 2.183371, 2.754452, 38.527904, 1.069370, 41.419951, 225.159077, 1672.991634, 0
1561212096, 0.039771, 1.087375, 25.124489, 0.468664, 49.516623, 249.532496, 1672.991634, 0
1561212096, 3.743412, 2.238753, 10.969986, 0.438057, 38.442773, 197.856083, 1672.991634, 0
1561212104, 0.344310, 1.024505, 28.414292, 0.483685, 34.897850, 1661.359357, 1672.991634, 1
1561212112, 1.196514, 2.868015, 28.919382, 0.149982, 12.294507, 1288.843763, 1672.991634, 1
1561212120, 0.385953, 1.244875, 21.980705, 0.076726, 14.998378, 733.128377, 1672.991634, 1
1561212121, 0.424436, 2.640415, 19.721696, 1.306508, 25.960814, 303.786830, 1672.991634, 0
1561212122, 2.013346, 1.135759, 14.987770, 0.343470, 11.459009, 194.639197, 1672.991634, 0
1561212130, 0.385452, 2.544667, 38.717592, 0.201480, 26.638800, 1499.522050, 1672.991634, 1
1561212136, 0.344310, 1.024505, 28.414292, 0.483685, 34.897850, 1318.218286, 1672.991634, 0
1561212137, 0.303153, 1.954816, 34.279371, 0.857122, 36.826446, 313.460082, 1672.991634, 0
1561212137, 2.039635, 1.020686, 29.341043, 0.786437, 42.703622, 216.993110, 1672.991634, 0
1561212137, 3.743641, 1.218931, 19.628205, 1.237427, 6.857571, 11.231668, 1672.991634, 0
1561212154, 0.344310, 1.024505, 28.414292, 0.483685, 34.897850, 1679.219551, 1672.991634, 1
1561212155, 1.143748, 1.025466, 14.471677, 0.661571, 31.187378, 209.905988, 1672.991634, 0
1561212156, 0.067966, 2.255423, 34.665283, 1.880514, 47.890232, 394.137268, 1672.991634, 0
1561212164, 0.344310, 1.024505, 28.414292, 0.483685, 34.897850, 1655.147010, 1672.991634, 1
1561212164, 3.301052, 1.008744, 36.917781, 0.388317, 20.260583, 207.033741, 1672.991634, 0
1561212166, 0.075792, 1.008179, 31.071008, 0.326055, 30.426551, 248.329811, 1672.991634, 0
1561212167, 1.600074, 1.020295, 14.137723, 0.707277, 33.129120, 208.591431, 1672.991634, 0
1561212175, 3.605407, 1.006596, 20.514752, 0.066010, 36.326879, 715.239747, 1672.991634, 1
1561212181, 0.344310, 1.024505, 28.414292, 0.483685, 34.897850, 1318.508950, 1672.991634, 0
1561212181, 0.109369, 1.008646, 20.112961, 1.817737, 47.222839, 0.297230, 1672.991634, 0
1561212184, 0.030736, 1.326625, 24.084613, 0.061288, 34.307783, 228.007146, 1672.991634, 0
1561212186, 0.133990, 1.020601, 29.027832, 0.308273, 20.769937, 387.887991, 1672.991634, 0
1561212194, 0.344310, 1.024505, 28.414292, 0.483685, 34.897850, 1670.896013, 1672.991634, 1
1561212202, 0.228228, 1.186969, 38.369660, 0.208764, 17.638800, 1347.704359, 1672.991634, 1
1561212203, 2.965448, 2.029286, 13.372142, 1.240915, 8.182740, 221.376715, 1672.991634, 0
1561212203, 2.426696, 1.356646, 14.829818, 0.341937, 38.425561, 191.665807, 1672.991634, 0
1561212205, 0.240240, 2.070213, 25.352884, 0.739246, 48.335031, 347.476400, 1672.991634, 0
1561212213, 0.317181, 2.029834, 16.048438, 0.268809, 39.135964, 871.053059, 1672.991634, 1
1561212214, 2.836056, 1.003705, 19.817697, 0.260191, 44.421358, 322.864439, 1672.991634, 0
1561212215, 2.597817, 2.397933, 22.886121, 0.281730, 36.387558, 326.289945, 1672.991634, 0
1561212216, 0.063408, 1.883131, 33.610322, 1.930725, 26.699194, 404.430792, 1672.991634, 0
1561212217, 3.137207, 2.811253, 35.480717, 0.480679, 22.228610, 207.302231, 1672.991634, 0
1561212224, 1.393561, 1.033762, 36.719178, 0.067638, 42.110941, 1124.189478, 1672.991634, 1
1561212226, 0.130100, 1.288620, 38.839221, 0.097483, 29.304048, 217.285045, 1672.991634, 0
1561212227, 0.140369, 1.778571, 39.775293, 1.145583, 10.094929, 368.284082, 1672.991634, 0
1561212228, 0.160018, 1.107656, 39.210019, 1.634952, 11.542206, 408.440156, 1672.991634, 0
1561212228, 2.820472, 1.214772, 16.046424, 1.772054, 32.300614, 216.729209, 1672.991634, 0
1561212236, 0.344310, 1.024505, 28.414292, 0.483685, 34.897850, 1661.672360, 1672.991634, 1
1561212237, 2.542351, 1.571810, 36.378782, 1.173745, 19.755732, 224.910094, 1672.991634, 0
1561212245, 0.344310, 1.024505, 28.414292, 0.483685, 34.897850, 1660.639978, 1672.991634, 1
1561212246, 0.192618, 2.987711, 18.901903, 1.624245, 30.592781, 327.802927, 1672.991634, 0
1561212247, 3.415772, 1.014031, 14.152300, 1.667029, 38.755541, 223.793167, 1672.991634, 0
1561212248, 0.264614, 1.010535, 26.167422, 1.027692, 36.365481, 231.086518, 1672.991634, 0
1561212254, 0.344310, 1.024505, 28.414292, 0.483685, 34.897850, 1454.165061, 1672.991634, 0
1561212254, 0.140993, 1.028643, 37.988307, 0.132877, 9.983845, 2.034745, 1672.991634, 0
1561212262, 0.297937, 1.028732, 30.213134, 0.148791, 41.867291, 1027.190436, 1672.991634, 1
1561212262, 3.946499, 1.711825, 39.486148, 1.858096, 34.015459, 5.666578, 1672.991634, 0
