timestamp, Kp, Ki, Sa, Sb, Bp, distance, bestdist, simres 
1561319106, 0.625985, 1.593196, 17.970360, 0.400271, 46.481350, 211.202615, 0.000000, 0
1561319112, 1.265790, 2.141429, 21.961405, 0.268460, 22.131453, 772.870972, 0.000000, 0
1561319150, 2.431411, 1.727542, 26.376643, 0.124889, 48.823624, 1071.733848, 1071.733848, 1
1561319186, 3.255852, 1.466795, 38.990286, 0.113415, 6.366485, 1526.660443, 1526.660443, 1
1561319198, 1.025962, 1.603045, 32.887604, 0.152340, 7.657394, 1466.950521, 1526.660443, 1
1561319235, 0.632998, 2.272873, 30.444505, 0.249185, 36.191473, 1595.300198, 1595.300198, 1
1561319239, 0.323679, 1.678972, 36.767590, 0.287377, 29.980639, 550.190053, 1595.300198, 0
1561319252, 2.369589, 1.744169, 39.507366, 0.075697, 13.755106, 1286.608475, 1595.300198, 1
1561319264, 1.136307, 2.030046, 21.506671, 0.083096, 37.517372, 788.455309, 1595.300198, 1
1561319276, 3.269695, 1.405690, 39.532978, 0.117010, 49.429335, 1592.972475, 1595.300198, 1
1561319312, 0.632998, 2.272873, 30.444505, 0.249185, 36.191473, 1601.336810, 1601.336810, 1
1561319325, 3.596587, 2.521512, 36.418803, 0.061328, 37.641115, 1111.687820, 1601.336810, 1
1561319326, 0.097541, 1.147914, 39.252529, 0.514718, 48.391139, 288.070658, 1601.336810, 0
1561319339, 0.632998, 2.272873, 30.444505, 0.249185, 36.191473, 1587.148061, 1601.336810, 1
1561319351, 2.159056, 1.367706, 18.324921, 0.076721, 49.854307, 663.956344, 1601.336810, 1
1561319364, 3.288531, 1.549216, 14.897146, 0.039314, 49.465648, 455.843841, 1601.336810, 1
1561319364, 3.864930, 1.151243, 32.003490, 0.370232, 17.536413, 5.789859, 1601.336810, 0
1561319365, 2.356262, 2.632462, 21.650514, 0.370567, 30.122124, 204.754794, 1601.336810, 0
1561319366, 0.142440, 2.785699, 17.807041, 1.792164, 48.370513, 208.984139, 1601.336810, 0
1561319366, 0.378316, 2.474556, 18.513971, 0.229510, 22.063605, 0.963704, 1601.336810, 0
1561319366, 3.496156, 2.238666, 12.662102, 0.009866, 49.552285, 0.730642, 1601.336810, 0
1561319366, 3.351187, 1.357809, 36.396084, 1.541376, 49.934286, 1.144174, 1601.336810, 0
1561319378, 0.807246, 1.335170, 34.813787, 0.020780, 27.402539, 859.323430, 1601.336810, 1
1561319415, 0.632998, 2.272873, 30.444505, 0.249185, 36.191473, 1615.980911, 1615.980911, 1
1561319416, 3.357664, 2.703929, 23.691295, 0.622771, 30.987663, 209.044561, 1615.980911, 0
1561319420, 0.135084, 2.836451, 33.817425, 0.137542, 17.529361, 376.841868, 1615.980911, 0
1561319421, 3.880918, 1.795499, 22.257736, 1.287803, 45.332048, 0.094443, 1615.980911, 0
1561319433, 0.632998, 2.272873, 30.444505, 0.249185, 36.191473, 1609.430317, 1615.980911, 1
1561319445, 3.323211, 1.727822, 37.227042, 0.048555, 40.415804, 1064.200017, 1615.980911, 1
1561319457, 2.856672, 2.807850, 14.080428, 0.005673, 10.148947, 396.242434, 1615.980911, 1
1561319469, 0.454761, 1.515036, 13.705258, 0.198130, 44.146932, 739.756772, 1615.980911, 1
1561319471, 0.537529, 2.421628, 36.884138, 1.118161, 31.321992, 304.149399, 1615.980911, 0
1561319472, 0.629730, 1.907891, 12.410116, 1.603725, 38.396391, 263.864612, 1615.980911, 0
1561319472, 1.255051, 1.809929, 28.490787, 1.596404, 40.866922, 0.498802, 1615.980911, 0
1561319473, 2.323242, 2.505506, 14.622774, 1.184603, 46.243737, 219.538175, 1615.980911, 0
1561319485, 0.632998, 2.272873, 30.444505, 0.249185, 36.191473, 1589.082632, 1615.980911, 1
1561319497, 3.589013, 2.521389, 26.026856, 0.052609, 41.347257, 839.244835, 1615.980911, 1
1561319509, 0.632998, 2.272873, 30.444505, 0.249185, 36.191473, 1581.379500, 1615.980911, 1
1561319510, 3.323211, 1.935378, 20.530321, 0.644786, 39.419087, 206.106839, 1615.980911, 0
1561319510, 1.477168, 1.214830, 39.156857, 0.034487, 20.103348, 5.651585, 1615.980911, 0
1561319523, 0.632998, 2.272873, 30.444505, 0.249185, 36.191473, 1613.133959, 1615.980911, 1
1561319524, 0.107741, 2.510963, 20.874330, 1.526034, 12.722458, 337.035309, 1615.980911, 0
1561319536, 3.969685, 1.556570, 12.355167, 0.225393, 21.716385, 919.553354, 1615.980911, 1
1561319548, 0.632998, 2.272873, 30.444505, 0.249185, 36.191473, 1586.859316, 1615.980911, 1
1561319549, 3.376440, 2.617513, 25.470372, 1.318783, 45.560213, 216.119026, 1615.980911, 0
1561319562, 0.476050, 2.830942, 34.338174, 0.155765, 10.913054, 1338.302574, 1615.980911, 1
1561319574, 2.688757, 1.607649, 19.000491, 0.026262, 22.481111, 542.005479, 1615.980911, 1
1561319575, 0.928327, 1.329020, 12.922087, 1.359271, 39.593126, 235.014884, 1615.980911, 0
1561319587, 0.618953, 1.933911, 12.776747, 0.039793, 24.743893, 414.492587, 1615.980911, 1
1561319588, 2.279890, 1.943077, 34.931235, 1.252311, 5.131919, 224.998433, 1615.980911, 0
1561319601, 1.066827, 2.486708, 13.817273, 0.147042, 24.002848, 669.014528, 1615.980911, 1
1561319613, 1.304385, 1.248416, 26.294091, 0.012985, 8.649826, 696.371016, 1615.980911, 1
1561319650, 0.632998, 2.272873, 30.444505, 0.249185, 36.191473, 1617.994023, 1617.994023, 1
1561319663, 2.885757, 1.603919, 23.868327, 0.013884, 33.109594, 636.482849, 1617.994023, 1
1561319666, 0.079618, 2.649758, 29.475418, 0.111609, 23.653812, 213.151817, 1617.994023, 0
1561319667, 0.438457, 1.240719, 39.141128, 1.212552, 29.432806, 354.268262, 1617.994023, 0
1561319668, 0.632998, 2.272873, 30.444505, 0.249185, 36.191473, 7.359280, 1617.994023, 0
1561319680, 3.198015, 1.381543, 14.922655, 0.220350, 35.708016, 1053.392667, 1617.994023, 1
1561319691, 2.517543, 1.620649, 18.073286, 0.175126, 9.165712, 1011.816711, 1617.994023, 1
1561319693, 0.103979, 1.700271, 38.232335, 0.728648, 40.207623, 322.561060, 1617.994023, 0
1561319694, 3.433803, 1.812776, 37.191224, 0.215038, 37.204590, 189.247271, 1617.994023, 0
1561319706, 0.381064, 1.265745, 39.483896, 0.060144, 26.878099, 1073.590238, 1617.994023, 1
1561319707, 3.130608, 1.202671, 26.734101, 1.691973, 28.780148, 219.337384, 1617.994023, 0
1561319719, 1.921247, 2.442265, 16.611118, 0.139754, 10.071009, 801.738073, 1617.994023, 1
1561319731, 0.573291, 1.911014, 29.959450, 0.047519, 15.090128, 825.216393, 1617.994023, 1
1561319743, 0.632998, 2.272873, 30.444505, 0.249185, 36.191473, 1598.783574, 1617.994023, 1
1561319755, 3.696568, 1.358594, 16.498166, 0.059705, 24.742495, 560.474215, 1617.994023, 1
1561319791, 0.632998, 2.272873, 30.444505, 0.249185, 36.191473, 1618.325519, 1618.325519, 1
1561319803, 0.375372, 1.255522, 35.376814, 0.191912, 46.577094, 1398.312120, 1618.325519, 1
1561319838, 1.418443, 2.272873, 37.086320, 0.151593, 44.272867, 1687.352107, 1687.352107, 1
1561319850, 1.709017, 2.502711, 34.416834, 0.144751, 33.984917, 1524.850913, 1687.352107, 1
1561319862, 1.418443, 2.272873, 37.086320, 0.151593, 44.272867, 1684.270024, 1687.352107, 1
1561319863, 1.849972, 2.522864, 35.733457, 0.841064, 44.301873, 221.513761, 1687.352107, 0
1561319864, 0.592018, 2.248645, 33.164677, 1.457860, 49.569347, 303.567958, 1687.352107, 0
1561319864, 2.403844, 1.466558, 17.045786, 1.536349, 11.614447, 1.814750, 1687.352107, 0
1561319865, 0.534726, 1.653218, 36.505568, 1.505297, 45.453025, 343.888272, 1687.352107, 0
1561319877, 1.418443, 2.272873, 37.086320, 0.151593, 44.272867, 1683.832050, 1687.352107, 1
1561319889, 3.397511, 1.821472, 27.457306, 0.050929, 26.012135, 807.617841, 1687.352107, 1
1561319890, 3.224872, 2.419755, 34.109339, 0.700953, 14.051761, 216.103443, 1687.352107, 0
1561319891, 0.398900, 1.722631, 28.734699, 1.825233, 35.323063, 386.302244, 1687.352107, 0
1561319903, 3.548155, 1.202341, 30.894064, 0.067740, 11.510668, 980.592779, 1687.352107, 1
1561319914, 0.504790, 2.256878, 20.352695, 0.125738, 25.999824, 825.343877, 1687.352107, 1
